index,dish_id,display_name,category,cuisine,serving_grams,calories,protein,carbs,fat,fiber,sodium
25,TEXAS_TOMMY,Texas Tommy,other,international,100,520,6.0,60.0,28.0,2.5,450
26,HAR_CHEONG_GAI,Har cheong gai,other,international,100,520,6.0,60.0,28.0,2.5,450
27,KOLOKYTHOPITA,Kolokythopita,other,international,100,520,6.0,60.0,28.0,2.5,450
28,KARYDOPITA,Karydopita,other,international,100,520,6.0,60.0,28.0,2.5,450
29,RINFLAJŠ,Rinflajš,other,international,100,520,6.0,60.0,28.0,2.5,450
30,HAINANESE_CURRY_RICE,Hainanese curry rice,rice,indian,100,130,2.7,28.0,0.3,0.4,1
31,SONORAN_HOT_DOG,Sonoran hot dog,other,american,100,520,6.0,60.0,28.0,2.5,450
33,AFGHANI_BURGER,Afghani burger,burger,american,100,295,17.0,24.0,14.0,1.2,396
34,TEOCHEW_PORRIDGE,Teochew porridge,other,international,100,520,6.0,60.0,28.0,2.5,450
35,MINESTRA_DI_CECI,Minestra di ceci,other,international,100,520,6.0,60.0,28.0,2.5,450
36,PASTRAMI_ON_RYE,Pastrami on rye,other,international,100,520,6.0,60.0,28.0,2.5,450
37,ROAST_BEEF_SANDWICH,Roast beef sandwich,beef,international,100,250,26.0,0.0,15.0,0.0,72
38,CHAHAN,Chahan,other,international,100,520,6.0,60.0,28.0,2.5,450
39,EKURU,Ekuru,other,international,100,520,6.0,60.0,28.0,2.5,450
40,SCIUSCEDDU,Sciusceddu,other,international,100,520,6.0,60.0,28.0,2.5,450
41,BREAKFAST_BURRITO,Breakfast burrito,other,mexican,100,520,6.0,60.0,28.0,2.5,450
43,SAUSAGE_STROGANOFF,Sausage Stroganoff,other,international,100,520,6.0,60.0,28.0,2.5,450
44,ROTI_JALA,Roti jala,bread,indian,100,265,9.0,49.0,3.2,2.7,491
45,PIRAO,Pirao,other,international,100,520,6.0,60.0,28.0,2.5,450
46,CASATIELLO,Casatiello,other,international,100,520,6.0,60.0,28.0,2.5,450
47,KHANOM_TAN,Khanom tan,other,international,100,520,6.0,60.0,28.0,2.5,450
48,MUAMBA_CHICKEN,Muamba chicken,chicken,international,100,239,27.0,0.0,14.0,0.0,82
49,DOBRADINHA,Dobradinha,other,international,100,520,6.0,60.0,28.0,2.5,450
50,BRUCKFLEISCH,Bruckfleisch,other,international,100,520,6.0,60.0,28.0,2.5,450
51,MOLOTE,Molote,other,international,100,520,6.0,60.0,28.0,2.5,450
52,SPONGATA,Spongata,other,international,100,520,6.0,60.0,28.0,2.5,450
53,FUNGE,Funge,other,international,100,520,6.0,60.0,28.0,2.5,450
55,KÖTTBULLAR,Köttbullar,other,international,100,520,6.0,60.0,28.0,2.5,450
56,KA'AK,Ka'ak,other,international,100,520,6.0,60.0,28.0,2.5,450
57,PAPET_VAUDOIS,Papet vaudois,other,international,100,520,6.0,60.0,28.0,2.5,450
59,PROSCIUTTO_DI_NORCIA,Prosciutto di Norcia,other,international,100,520,6.0,60.0,28.0,2.5,450
60,MALLOREDDUS,Malloreddus,other,international,100,520,6.0,60.0,28.0,2.5,450
62,PANNENKOEK,Pannenkoek,other,international,100,520,6.0,60.0,28.0,2.5,450
63,DIRTY_MACARONI,Dirty macaroni,pasta,international,100,131,5.0,25.0,1.1,1.8,6
65,GARLIC_BUTTER_SHRIMP,Garlic butter shrimp,seafood,international,100,99,20.0,0.0,1.7,0.0,111
66,FRICASSE,Fricasse,other,international,100,520,6.0,60.0,28.0,2.5,450
67,STRACCIATELLA,Stracciatella,other,international,100,520,6.0,60.0,28.0,2.5,450
69,SARTÙ,Sartù,other,international,100,520,6.0,60.0,28.0,2.5,450
70,MATELOTE,Matelote,other,international,100,520,6.0,60.0,28.0,2.5,450
71,BAODU,Baodu,other,international,100,520,6.0,60.0,28.0,2.5,450
72,MATTENTAART,Mattentaart,other,international,100,520,6.0,60.0,28.0,2.5,450
73,CARTELLATE,Cartellate,other,international,100,520,6.0,60.0,28.0,2.5,450
74,GYERAN_PPANG,Gyeran-ppang,other,international,100,520,6.0,60.0,28.0,2.5,450
75,TORTA_PASQUALINA,Torta Pasqualina,other,international,100,520,6.0,60.0,28.0,2.5,450
76,CALTABOȘ,Caltaboș,other,international,100,520,6.0,60.0,28.0,2.5,450
77,KHANOM_MO_KAENG,Khanom mo kaeng,other,international,100,520,6.0,60.0,28.0,2.5,450
78,SUIMONO,Suimono,other,international,100,520,6.0,60.0,28.0,2.5,450
79,DIMLAMA,Dimlama,other,international,100,520,6.0,60.0,28.0,2.5,450
80,TAVË_KOSI,Tavë Kosi,other,international,100,520,6.0,60.0,28.0,2.5,450
83,KALACH,Kalach,other,international,100,520,6.0,60.0,28.0,2.5,450
84,JAMBON_PERSILLÉ,Jambon persillé,other,international,100,520,6.0,60.0,28.0,2.5,450
85,PORK_BONES,Pork Bones,pork,international,100,242,27.0,0.0,14.0,0.0,62
86,POZHARSKY_CUTLET,Pozharsky cutlet,other,international,100,520,6.0,60.0,28.0,2.5,450
87,ROCCOCÒ,Roccocò,other,international,100,520,6.0,60.0,28.0,2.5,450
88,FEIJÃO_DE_ÓLEO_DE_PALMA,Feijão de óleo de palma,other,international,100,520,6.0,60.0,28.0,2.5,450
89,CALULU,Calulu,other,international,100,520,6.0,60.0,28.0,2.5,450
90,BEY'S_SOUP,Bey's Soup,soup,international,100,32,1.3,5.8,0.6,0.5,343
92,THỊT_KHO_TÀU,Thịt kho tàu,other,international,100,520,6.0,60.0,28.0,2.5,450
93,BON_BON_CHICKEN,Bon bon chicken,chicken,international,100,239,27.0,0.0,14.0,0.0,82
94,ZOQUE,Zoque,other,international,100,520,6.0,60.0,28.0,2.5,450
95,BINT_AL_SAHN,Bint al-sahn,other,international,100,520,6.0,60.0,28.0,2.5,450
96,TEMPOYAK,Tempoyak,other,international,100,520,6.0,60.0,28.0,2.5,450
97,PURAN_POLI,Puran poli,other,international,100,520,6.0,60.0,28.0,2.5,450
99,CHUEO_TANG,Chueo-tang,other,international,100,520,6.0,60.0,28.0,2.5,450
100,NAEM,Naem,other,international,100,520,6.0,60.0,28.0,2.5,450
103,PIZOKEL,Pizokel,other,international,100,520,6.0,60.0,28.0,2.5,450
105,SCHIACCIATA,Schiacciata,other,international,100,520,6.0,60.0,28.0,2.5,450
106,DAHEEN,Daheen,other,international,100,520,6.0,60.0,28.0,2.5,450
107,CHAPSSAL_TTEOK,Chapssal-tteok,other,international,100,520,6.0,60.0,28.0,2.5,450
109,CRESCENTINA_MODENESE,Crescentina modenese,other,international,100,520,6.0,60.0,28.0,2.5,450
110,PANSOTTI,Pansotti,other,international,100,520,6.0,60.0,28.0,2.5,450
111,FRIED_EGGPLANT,Fried eggplant,egg,international,100,201,16.9,1.4,14.3,0.0,161
112,PORTUGUESE_SEAFOOD_RICE,Portuguese seafood rice,rice,international,100,130,2.7,28.0,0.3,0.4,1
113,TRIPES_À_LA_MODE_DE_CAEN,Tripes à la mode de Caen,other,international,100,520,6.0,60.0,28.0,2.5,450
115,BRENEBON,Brenebon,other,international,100,520,6.0,60.0,28.0,2.5,450
116,GNOCCO_FRITTO,Gnocco fritto,other,international,100,520,6.0,60.0,28.0,2.5,450
118,TAHU_TEK_TEK,Tahu tek-tek,other,international,100,520,6.0,60.0,28.0,2.5,450
119,BIBIKKAN,Bibikkan,other,international,100,520,6.0,60.0,28.0,2.5,450
120,SQUID_TONGSENG,Squid tongseng,other,international,100,520,6.0,60.0,28.0,2.5,450
122,BUNDEVARA,Bundevara,bread,international,100,265,9.0,49.0,3.2,2.7,491
123,SOP_SAUDARA,Sop saudara,other,international,100,520,6.0,60.0,28.0,2.5,450
125,ERBAZZONE,Erbazzone,other,international,100,520,6.0,60.0,28.0,2.5,450
126,KISRA,Kisra,other,international,100,520,6.0,60.0,28.0,2.5,450
127,MEAT_FROM_TIBLICA,Meat from tiblica,other,international,100,520,6.0,60.0,28.0,2.5,450
129,YUFKA,Yufka,other,international,100,520,6.0,60.0,28.0,2.5,450
130,PISAREI_E_FAŚÖ,Pisarei e faśö,other,international,100,520,6.0,60.0,28.0,2.5,450
132,PAMPUSHKA,Pampushka,other,international,100,520,6.0,60.0,28.0,2.5,450
133,MAKOWIEC,Makowiec,other,international,100,520,6.0,60.0,28.0,2.5,450
134,SALEEG,Saleeg,other,international,100,520,6.0,60.0,28.0,2.5,450
135,_M_0100FWT6,/m/0100fwt6,other,international,100,520,6.0,60.0,28.0,2.5,450
136,JÓKAI_BEAN_SOUP,Jókai bean soup,soup,international,100,32,1.3,5.8,0.6,0.5,343
137,BOOKBINDER_SOUP,Bookbinder soup,soup,international,100,32,1.3,5.8,0.6,0.5,343
138,SELAT_SOLO,Selat solo,other,international,100,520,6.0,60.0,28.0,2.5,450
139,KUTSINTA,Kutsinta,other,international,100,520,6.0,60.0,28.0,2.5,450
140,SAGO_SOUP,Sago soup,soup,international,100,32,1.3,5.8,0.6,0.5,343
141,VINEGRET,Vinegret,other,international,100,520,6.0,60.0,28.0,2.5,450
142,SHRIMP_AND_GRITS,Shrimp and grits,seafood,international,100,99,20.0,0.0,1.7,0.0,111
143,SIROP_DE_LIÈGE,Sirop de Liège,other,international,100,520,6.0,60.0,28.0,2.5,450
144,WOKU,Woku,other,international,100,520,6.0,60.0,28.0,2.5,450
145,MUHALLEBI,Muhallebi,other,international,100,520,6.0,60.0,28.0,2.5,450
146,GEPUK,Gepuk,other,international,100,520,6.0,60.0,28.0,2.5,450
147,FOUÉE,Fouée,other,international,100,520,6.0,60.0,28.0,2.5,450
148,OCTOPUS,Octopus,other,international,100,520,6.0,60.0,28.0,2.5,450
149,KOBA,Koba,other,international,100,520,6.0,60.0,28.0,2.5,450
150,BÒ_LÚC_LẮC,Bò lúc lắc,other,international,100,520,6.0,60.0,28.0,2.5,450
151,SQUID_LŪ'AU,Squid lū'au,other,international,100,520,6.0,60.0,28.0,2.5,450
152,SHRIMP_LOUIE,Shrimp Louie,seafood,international,100,99,20.0,0.0,1.7,0.0,111
153,BLACK_PUDDING,Black pudding,dessert,international,100,257,3.2,36.0,11.0,0.7,139
154,CHERRY_KEBAB,Cherry kebab,other,middle_eastern,100,520,6.0,60.0,28.0,2.5,450
155,PITSI_PITSÎ,Pitsi-pitsî,other,international,100,520,6.0,60.0,28.0,2.5,450
156,SABICH_SALAD,Sabich salad,salad,international,100,17,1.2,3.3,0.2,1.3,10
157,MIE_KOCOK,Mie kocok,other,international,100,520,6.0,60.0,28.0,2.5,450
158,MARACA_PIE,Maraca pie,pie,international,100,237,2.4,34.0,11.0,0.7,197
159,BANGA,Banga,other,international,100,520,6.0,60.0,28.0,2.5,450
160,BACCALÀ_ALLA_LUCANA,Baccalà alla lucana,other,international,100,520,6.0,60.0,28.0,2.5,450
161,NASI_TUMPANG,Nasi tumpang,other,international,100,520,6.0,60.0,28.0,2.5,450
162,GRATIN_DAUPHINOIS,Gratin dauphinois,other,international,100,520,6.0,60.0,28.0,2.5,450
163,ARROZ_CHAUFA,Arroz chaufa,other,international,100,520,6.0,60.0,28.0,2.5,450
164,KUIH,Kuih,other,international,100,520,6.0,60.0,28.0,2.5,450
165,AYAM_GORENG,Ayam goreng,other,international,100,520,6.0,60.0,28.0,2.5,450
166,CHONGOS_ZAMORANOS,Chongos zamoranos,other,international,100,520,6.0,60.0,28.0,2.5,450
167,_M_011C708,/m/011c708,other,international,100,520,6.0,60.0,28.0,2.5,450
168,MĂMĂLIGĂ,Mămăligă,other,international,100,520,6.0,60.0,28.0,2.5,450
169,CANDIED_ALMONDS,Candied almonds,other,international,100,520,6.0,60.0,28.0,2.5,450
170,LASAGNE,Lasagne,other,international,100,520,6.0,60.0,28.0,2.5,450
171,PECEL_LELE,Pecel Lele,other,international,100,520,6.0,60.0,28.0,2.5,450
172,LETTUCE_SOUP,Lettuce soup,soup,international,100,32,1.3,5.8,0.6,0.5,343
173,ACQUACOTTA,Acquacotta,other,international,100,520,6.0,60.0,28.0,2.5,450
174,PORK_BLOOD_SOUP,Pork blood soup,pork,international,100,242,27.0,0.0,14.0,0.0,62
175,_M_011SQ8KG,/m/011sq8kg,other,international,100,520,6.0,60.0,28.0,2.5,450
176,BURIDDA,Buridda,other,international,100,520,6.0,60.0,28.0,2.5,450
177,MACCU,Maccu,other,international,100,520,6.0,60.0,28.0,2.5,450
178,TURKEY_DEVONSHIRE,Turkey Devonshire,other,international,100,520,6.0,60.0,28.0,2.5,450
179,GINESTRATA,Ginestrata,other,international,100,520,6.0,60.0,28.0,2.5,450
180,GARMUGIA,Garmugia,other,international,100,520,6.0,60.0,28.0,2.5,450
181,MERINGUE,Meringue,other,international,100,520,6.0,60.0,28.0,2.5,450
182,PEANUT_BUTTER_AND_JELLY_SANDWICH,Peanut butter and jelly sandwich,sandwich,international,100,250,12.0,30.0,9.0,2.0,450
183,COUQUE_DE_DINANT,Couque de Dinant,other,international,100,520,6.0,60.0,28.0,2.5,450
184,OMO_TUO,Omo tuo,other,international,100,520,6.0,60.0,28.0,2.5,450
185,THAPTHIM_KROP,Thapthim krop,other,international,100,520,6.0,60.0,28.0,2.5,450
186,PIE_TEE,Pie tee,pie,international,100,237,2.4,34.0,11.0,0.7,197
187,SUTARFENI,Sutarfeni,other,international,100,520,6.0,60.0,28.0,2.5,450
188,RACLETTE,Raclette,other,international,100,520,6.0,60.0,28.0,2.5,450
189,WOTOU,Wotou,other,international,100,520,6.0,60.0,28.0,2.5,450
190,PUNUGULU,Punugulu,other,international,100,520,6.0,60.0,28.0,2.5,450
191,SUCCOTASH,Succotash,other,international,100,520,6.0,60.0,28.0,2.5,450
192,CHIM_CHUM,Chim chum,other,international,100,520,6.0,60.0,28.0,2.5,450
193,WACHIPA,Wachipa,other,international,100,520,6.0,60.0,28.0,2.5,450
194,BOAT_NOODLES,Boat noodles,noodles,international,100,138,4.5,25.0,2.1,1.2,8
195,TANTUNI,Tantuni,other,international,100,520,6.0,60.0,28.0,2.5,450
196,SHAB_DEG,Shab Deg,other,international,100,520,6.0,60.0,28.0,2.5,450
197,CHẢ_GIÒ,Chả giò,other,international,100,520,6.0,60.0,28.0,2.5,450
198,CIABATTA_BACON_CHEESEBURGER,Ciabatta Bacon Cheeseburger,burger,american,100,295,17.0,24.0,14.0,1.2,396
199,MIE_KANGKUNG,Mie kangkung,other,international,100,520,6.0,60.0,28.0,2.5,450
200,TUWO_MASARA,Tuwo masara,other,international,100,520,6.0,60.0,28.0,2.5,450
201,KOKONTE,Kokonte,other,international,100,520,6.0,60.0,28.0,2.5,450
202,AKPLE,Akple,other,international,100,520,6.0,60.0,28.0,2.5,450
203,_M_012VYPZP,/m/012vypzp,other,international,100,520,6.0,60.0,28.0,2.5,450
204,KWAREŻIMAL,Kwareżimal,other,international,100,520,6.0,60.0,28.0,2.5,450
205,BENTO,Bento,other,international,100,520,6.0,60.0,28.0,2.5,450
206,OSECHI,Osechi,other,international,100,520,6.0,60.0,28.0,2.5,450
207,OKONOMIYAKI,Okonomiyaki,other,international,100,520,6.0,60.0,28.0,2.5,450
208,MISO_SOUP,Miso soup,soup,japanese,100,32,1.3,5.8,0.6,0.5,343
209,DANGO,Dango,other,international,100,520,6.0,60.0,28.0,2.5,450
210,ONIGIRI,Onigiri,other,international,100,520,6.0,60.0,28.0,2.5,450
211,HIYAYAKKO,Hiyayakko,other,international,100,520,6.0,60.0,28.0,2.5,450
212,TEMPURA,Tempura,other,japanese,100,676,7.8,78.0,36.4,3.2,585
213,MOCHI,Mochi,other,international,100,520,6.0,60.0,28.0,2.5,450
214,PEPPERSOUP,Peppersoup,soup,international,100,32,1.3,5.8,0.6,0.5,343
215,CALDO_DE_QUESO,Caldo de queso,other,international,100,520,6.0,60.0,28.0,2.5,450
216,DODO_IKIRE,Dodo ikire,other,international,100,520,6.0,60.0,28.0,2.5,450
217,UIRŌ,Uirō,other,international,100,520,6.0,60.0,28.0,2.5,450
218,HONG_DOU_TANG,Hong dou tang,other,international,100,520,6.0,60.0,28.0,2.5,450
219,KAKIGŌRI,Kakigōri,other,international,100,520,6.0,60.0,28.0,2.5,450
220,KHICHU,Khichu,other,international,100,520,6.0,60.0,28.0,2.5,450
221,BOLO_DE_ARROZ,Bolo de arroz,other,international,100,520,6.0,60.0,28.0,2.5,450
222,CHIPS_AND_DIP,Chips and dip,snack,international,100,520,6.0,60.0,28.0,2.5,450
223,MURGH_MUSALLAM,Murgh musallam,other,international,100,520,6.0,60.0,28.0,2.5,450
224,UTICA_GREENS,Utica greens,other,international,100,520,6.0,60.0,28.0,2.5,450
225,ZAALOUK,Zaalouk,other,international,100,520,6.0,60.0,28.0,2.5,450
226,MUTTON_CURRY,Mutton curry,curry,indian,100,97,3.7,7.8,6.1,2.1,380
227,MUGHLAI_PARATHA,Mughlai paratha,other,international,100,520,6.0,60.0,28.0,2.5,450
228,TUO_ZAAFI,Tuo Zaafi,other,international,100,520,6.0,60.0,28.0,2.5,450
229,BÁNH_BỘT_LỌC,Bánh bột lọc,other,international,100,520,6.0,60.0,28.0,2.5,450
230,_M_013F387H,/m/013f387h,other,international,100,520,6.0,60.0,28.0,2.5,450
231,CHEESEBURGER,Cheeseburger,burger,american,100,295,17.0,24.0,14.0,1.2,396
232,JELLY_BEAN,Jelly bean,other,international,100,520,6.0,60.0,28.0,2.5,450
233,APPLE_PIE,Apple pie,fruit,international,100,52,0.3,14.0,0.2,2.4,1
234,UDON,Udon,other,japanese,100,520,6.0,60.0,28.0,2.5,450
235,FALAFEL,Falafel,other,middle_eastern,100,520,6.0,60.0,28.0,2.5,450
236,AGEDASHI_DŌFU,Agedashi dōfu,other,international,100,520,6.0,60.0,28.0,2.5,450
237,DASHI,Dashi,other,international,100,520,6.0,60.0,28.0,2.5,450
238,TORTELL,Tortell,other,international,100,520,6.0,60.0,28.0,2.5,450
239,OMELETTE,Omelette,egg,international,100,155,13.0,1.1,11.0,0.0,124
240,CRÈME_BRÛLÉE,Crème brûlée,other,international,100,520,6.0,60.0,28.0,2.5,450
241,CUCUMBER_SOUP,Cucumber soup,soup,international,100,32,1.3,5.8,0.6,0.5,343
242,FRENCH_TOAST,French toast,other,international,100,520,6.0,60.0,28.0,2.5,450
243,TRIPE,Tripe,other,international,100,520,6.0,60.0,28.0,2.5,450
244,PEPPERONI,Pepperoni,other,international,100,520,6.0,60.0,28.0,2.5,450
245,SALAMI,Salami,other,international,100,520,6.0,60.0,28.0,2.5,450
246,KIMCHI,Kimchi,other,international,100,520,6.0,60.0,28.0,2.5,450
247,KNÖDEL,Knödel,other,international,100,520,6.0,60.0,28.0,2.5,450
248,TAKOYAKI,Takoyaki,other,international,100,520,6.0,60.0,28.0,2.5,450
249,HALVA,Halva,other,international,100,520,6.0,60.0,28.0,2.5,450
250,PIGS_IN_A_BLANKET,Pigs in a blanket,other,international,100,520,6.0,60.0,28.0,2.5,450
251,SPANAKOPITA,Spanakopita,other,international,100,520,6.0,60.0,28.0,2.5,450
252,PUMPKIN_PIE,Pumpkin pie,pie,international,100,237,2.4,34.0,11.0,0.7,197
253,JAMBALAYA,Jambalaya,other,international,100,520,6.0,60.0,28.0,2.5,450
254,CLUB_SANDWICH,Club sandwich,sandwich,international,100,250,12.0,30.0,9.0,2.0,450
255,CHURRO,Churro,other,international,100,520,6.0,60.0,28.0,2.5,450
256,TURDUCKEN,Turducken,other,international,100,520,6.0,60.0,28.0,2.5,450
257,WELSH_RAREBIT,Welsh rarebit,other,international,100,520,6.0,60.0,28.0,2.5,450
258,HOT_DOG,Hot dog,other,american,100,520,6.0,60.0,28.0,2.5,450
259,OYAKODON,Oyakodon,other,international,100,520,6.0,60.0,28.0,2.5,450
260,MEATBALL,Meatball,other,international,100,520,6.0,60.0,28.0,2.5,450
261,WALDORF_SALAD,Waldorf salad,salad,international,100,17,1.2,3.3,0.2,1.3,10
262,POTATO_SALAD,Potato salad,salad,international,100,17,1.2,3.3,0.2,1.3,10
263,SATAY,Satay,other,international,100,520,6.0,60.0,28.0,2.5,450
264,PEMMICAN,Pemmican,other,international,100,520,6.0,60.0,28.0,2.5,450
265,MÄMMI,Mämmi,other,international,100,520,6.0,60.0,28.0,2.5,450
266,FIDEUÀ,Fideuà,other,international,100,520,6.0,60.0,28.0,2.5,450
267,WAFFLE,Waffle,other,international,100,520,6.0,60.0,28.0,2.5,450
268,PANCAKE,Pancake,cake,international,100,257,3.2,36.0,11.0,0.7,139
269,QUICHE,Quiche,other,french,100,520,6.0,60.0,28.0,2.5,450
270,BORSCHT,Borscht,other,international,100,520,6.0,60.0,28.0,2.5,450
271,BRATWURST,Bratwurst,other,international,100,520,6.0,60.0,28.0,2.5,450
272,FOIE_GRAS,Foie gras,other,international,100,520,6.0,60.0,28.0,2.5,450
273,BURRITO,Burrito,other,mexican,100,520,6.0,60.0,28.0,2.5,450
274,GOULASH,Goulash,other,international,100,520,6.0,60.0,28.0,2.5,450
275,SPOTTED_DICK,Spotted dick,other,international,100,520,6.0,60.0,28.0,2.5,450
276,COQ_AU_VIN,Coq au vin,other,international,100,520,6.0,60.0,28.0,2.5,450
277,RATATOUILLE,Ratatouille,other,international,100,520,6.0,60.0,28.0,2.5,450
278,CORNBREAD,Cornbread,bread,international,100,265,9.0,49.0,3.2,2.7,491
279,SOUVLAKI,Souvlaki,other,international,100,520,6.0,60.0,28.0,2.5,450
280,CHOW_MEIN,Chow mein,other,chinese,100,520,6.0,60.0,28.0,2.5,450
281,ROAST_BEEF,Roast beef,beef,international,100,250,26.0,0.0,15.0,0.0,72
282,PEKING_DUCK,Peking duck,other,international,100,520,6.0,60.0,28.0,2.5,450
283,FRIED_CHICKEN,Fried chicken,chicken,american,100,310,35.1,0.0,18.2,0.0,106
284,CROQUEMBOUCHE,Croquembouche,other,international,100,520,6.0,60.0,28.0,2.5,450
285,TAHINI,Tahini,other,international,100,520,6.0,60.0,28.0,2.5,450
286,GUMBO,Gumbo,other,international,100,520,6.0,60.0,28.0,2.5,450
287,FAJITA,Fajita,other,international,100,520,6.0,60.0,28.0,2.5,450
288,CHICKEN_FRIED_STEAK,Chicken fried steak,chicken,international,100,310,35.1,0.0,18.2,0.0,106
289,SUKIYAKI,Sukiyaki,other,international,100,520,6.0,60.0,28.0,2.5,450
290,SCRAPPLE,Scrapple,fruit,international,100,52,0.3,14.0,0.2,2.4,1
291,CHILI_CON_CARNE,Chili con carne,other,international,100,520,6.0,60.0,28.0,2.5,450
292,MONTE_CRISTO_SANDWICH,Monte Cristo sandwich,sandwich,international,100,250,12.0,30.0,9.0,2.0,450
293,KIELBASA,Kielbasa,other,international,100,520,6.0,60.0,28.0,2.5,450
294,POLENTA,Polenta,other,international,100,520,6.0,60.0,28.0,2.5,450
295,REUBEN_SANDWICH,Reuben sandwich,sandwich,international,100,250,12.0,30.0,9.0,2.0,450
296,S'MORE,S'more,other,international,100,520,6.0,60.0,28.0,2.5,450
297,ANDOUILLE,Andouille,other,international,100,520,6.0,60.0,28.0,2.5,450
298,BEIGNET,Beignet,other,international,100,520,6.0,60.0,28.0,2.5,450
299,CRÊPE,Crêpe,other,international,100,520,6.0,60.0,28.0,2.5,450
300,GULAI,Gulai,other,international,100,520,6.0,60.0,28.0,2.5,450
301,BREAKFAST_SAUSAGE,Breakfast sausage,other,international,100,520,6.0,60.0,28.0,2.5,450
302,CHORIZO,Chorizo,other,international,100,520,6.0,60.0,28.0,2.5,450
303,GYRO,Gyro,other,international,100,520,6.0,60.0,28.0,2.5,450
304,NACHOS,Nachos,other,mexican,100,520,6.0,60.0,28.0,2.5,450
305,LARB,Larb,other,international,100,520,6.0,60.0,28.0,2.5,450
306,COUSCOUS,Couscous,other,international,100,520,6.0,60.0,28.0,2.5,450
307,MEZE,Meze,other,international,100,520,6.0,60.0,28.0,2.5,450
308,CHEESESTEAK,Cheesesteak,beef,international,100,250,26.0,0.0,15.0,0.0,72
309,FROZEN_YOGURT,Frozen yogurt,yogurt,international,100,59,3.5,4.7,3.3,0.0,36
310,INJERA,Injera,other,international,100,520,6.0,60.0,28.0,2.5,450
311,MUESLI,Muesli,other,international,100,520,6.0,60.0,28.0,2.5,450
312,MEATLOAF,Meatloaf,other,international,100,520,6.0,60.0,28.0,2.5,450
313,FUET,Fuet,other,international,100,520,6.0,60.0,28.0,2.5,450
314,NATTŌ,Nattō,other,international,100,520,6.0,60.0,28.0,2.5,450
315,BANANA_SPLIT,Banana split,fruit,international,100,52,0.3,14.0,0.2,2.4,1
316,PĄCZKI,Pączki,other,international,100,520,6.0,60.0,28.0,2.5,450
317,POUND_CAKE,Pound cake,cake,international,100,257,3.2,36.0,11.0,0.7,139
318,FUQI_FEIPIAN,Fuqi feipian,other,international,100,520,6.0,60.0,28.0,2.5,450
319,NASI_LEMAK,Nasi lemak,other,international,100,520,6.0,60.0,28.0,2.5,450
320,FLAN,Flan,other,international,100,520,6.0,60.0,28.0,2.5,450
321,PAD_THAI,Pad thai,other,thai,100,520,6.0,60.0,28.0,2.5,450
322,YAKITORI,Yakitori,other,international,100,520,6.0,60.0,28.0,2.5,450
323,AMANATTŌ,Amanattō,other,international,100,520,6.0,60.0,28.0,2.5,450
324,TOM_KHA_KAI,Tom kha kai,other,international,100,520,6.0,60.0,28.0,2.5,450
325,LOKMA,Lokma,other,international,100,520,6.0,60.0,28.0,2.5,450
326,MOONCAKE,Mooncake,cake,international,100,257,3.2,36.0,11.0,0.7,139
327,IDLI,Idli,other,indian,100,520,6.0,60.0,28.0,2.5,450
